Short Field Name,LOCAL_ID,UNIQUE_ID,SRCE_OR_RF,ORGTST_LAB,ORGLB_ID,ORGLB_JOB,AN_TECH_OR,AN_COM_ORG,REPNO_ORG,TOTREP_ORG,TESTDT_ORG,TESTDAY_OR,TESTMO_OR,TESTYR_OR,TVS_EP_PCT,TVS_EPA_Q,TVS_ND_PCT,VS_NED_PCT,VS_NED_Q,O_G_PCT,O_G_UGG,O_AND_G_Q,O_AND_G_DL,PHCTOT_PCT,PHCTOT_UGG,PHC_Q,PHC_DL,PCB_T_UGG,PCB_TOT_Q,PCB_TOT_DL,DDT_T_NGG,DDT_TOT_Q,DDT_TOT_DL,DDE_T_NGG,DDE_TOT_Q,DDE_TOT_DL,DDD_T_NGG,DDD_TOT_Q,DDD_TOT_DL,PEST_UG_G,PEST_TOT_Q,PEST_T_DL,PAHTOT_PCT,PAHTOT_UGG,PAH_Q,PAH_DL,LIPIDS_NGG,OTHERS,CLOST_SP_G,CLOSTR_Q,CLOSTR_DL,MBT_C,MBT_Q,MBT_D,DBT_C,DBT_Q,DBT_D,TBT_C,TBT_Q,TBT_D,TTBT_C,TTBT_Q,TTBT_D
NA,761,US00024,"Foley et al., 1990",Arthur D. Little's Marine Sciences Laboratory,Ref-4A,NA,"The extraction procedure for sediment is adapted from methodology developed by the National Analytical Facility of NOAA and modified for use in the NS & T Mussel Watch Program (Battelle, 1988)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,NA,NA,1.5,"These values were calculated using the sum of 2,4-DDT and 4,4'-DDT, which were both reported individually in this report and appear in the PCBs/Pesticides Table.  The individual values were originally reported in ug/g and were converted to ng/g.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.545,originally reported as ng/g; converted to µg/g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,762,US00025,"Foley et al., 1990",Arthur D. Little's Marine Sciences Laboratory,Ref-5A,NA,"The extraction procedure for sediment is adapted from methodology developed by the National Analytical Facility of NOAA and modified for use in the NS & T Mussel Watch Program (Battelle, 1988)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021,NA,NA,16.47,"These values were calculated using the sum of 2,4-DDT and 4,4'-DDT, which were both reported individually in this report and appear in the PCBs/Pesticides Table.  The individual values were originally reported in ug/g and were converted to ng/g.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.562,originally reported as ng/g; converted to µg/g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,763,US00026,"Foley et al., 1990",Arthur D. Little's Marine Sciences Laboratory,Ref-6A,NA,"The extraction procedure for sediment is adapted from methodology developed by the National Analytical Facility of NOAA and modified for use in the NS & T Mussel Watch Program (Battelle, 1988)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022,NA,NA,1.07,"These values were calculated using the sum of 2,4-DDT and 4,4'-DDT, which were both reported individually in this report and appear in the PCBs/Pesticides Table.  The individual values were originally reported in ug/g and were converted to ng/g.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.628,originally reported as ng/g; converted to µg/g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,764,US00027,"Foley et al., 1990",Arthur D. Little's Marine Sciences Laboratory,RefA-1A,NA,"The extraction procedure for sediment is adapted from methodology developed by the National Analytical Facility of NOAA and modified for use in the NS & T Mussel Watch Program (Battelle, 1988)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,NA,NA,0.43,"These values were calculated using the sum of 2,4-DDT and 4,4'-DDT, which were both reported individually in this report and appear in the PCBs/Pesticides Table.  The individual values were originally reported in ug/g and were converted to ng/g.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.937,originally reported as ng/g; converted to µg/g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,765,US00028,"Foley et al., 1990",Arthur D. Little's Marine Sciences Laboratory,RefA-2A,NA,"The extraction procedure for sediment is adapted from methodology developed by the National Analytical Facility of NOAA and modified for use in the NS & T Mussel Watch Program (Battelle, 1988)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,NA,NA,1.4,"These values were calculated using the sum of 2,4-DDT and 4,4'-DDT, which were both reported individually in this report and appear in the PCBs/Pesticides Table.  The individual values were originally reported in ug/g and were converted to ng/g.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.924,originally reported as ng/g; converted to µg/g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,766,US00029,"Foley et al., 1990",Arthur D. Little's Marine Sciences Laboratory,RefA-3A,NA,"The extraction procedure for sediment is adapted from methodology developed by the National Analytical Facility of NOAA and modified for use in the NS & T Mussel Watch Program (Battelle, 1988)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019,NA,NA,0.43,"These values were calculated using the sum of 2,4-DDT and 4,4'-DDT, which were both reported individually in this report and appear in the PCBs/Pesticides Table.  The individual values were originally reported in ug/g and were converted to ng/g.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.084,originally reported as ng/g; converted to µg/g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,767,US00030,"Foley et al., 1990",Arthur D. Little's Marine Sciences Laboratory,RefA-4A,NA,"The extraction procedure for sediment is adapted from methodology developed by the National Analytical Facility of NOAA and modified for use in the NS & T Mussel Watch Program (Battelle, 1988)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021,NA,NA,2.3,"These values were calculated using the sum of 2,4-DDT and 4,4'-DDT, which were both reported individually in this report and appear in the PCBs/Pesticides Table.  The individual values were originally reported in ug/g and were converted to ng/g.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.301,originally reported as ng/g; converted to µg/g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,768,US00031,"Foley et al., 1990",Arthur D. Little's Marine Sciences Laboratory,RefA-5A,NA,"The extraction procedure for sediment is adapted from methodology developed by the National Analytical Facility of NOAA and modified for use in the NS & T Mussel Watch Program (Battelle, 1988)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,NA,NA,0.78,"These values were calculated using the sum of 2,4-DDT and 4,4'-DDT, which were both reported individually in this report and appear in the PCBs/Pesticides Table.  The individual values were originally reported in ug/g and were converted to ng/g.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.126,originally reported as ng/g; converted to µg/g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,769,US00032,"Foley et al., 1990",Arthur D. Little's Marine Sciences Laboratory,RefA-6A,NA,"The extraction procedure for sediment is adapted from methodology developed by the National Analytical Facility of NOAA and modified for use in the NS & T Mussel Watch Program (Battelle, 1988)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,NA,NA,1.6,"These values were calculated using the sum of 2,4-DDT and 4,4'-DDT, which were both reported individually in this report and appear in the PCBs/Pesticides Table.  The individual values were originally reported in ug/g and were converted to ng/g.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.188,originally reported as ng/g; converted to µg/g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,770,US00033,"Foley et al., 1990",Arthur D. Little's Marine Sciences Laboratory,Ref-1B,NA,"The extraction procedure for sediment is adapted from methodology developed by the National Analytical Facility of NOAA and modified for use in the NS & T Mussel Watch Program (Battelle, 1988)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,0.39,2.6,NA,0.68,0,<,1.2,0,<,0.79
